name,datetime,temp,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,stations,source
"talisay, daanbantayan, cebu",2026-02-15T11:00:00,27,82.67,0,21.6,16.6,57.4,1012,96,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T12:00:00,27.3,80.74,0,20.5,14.4,47.5,1011,98.6,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T13:00:00,27.5,80.77,0,18,12.2,27.5,1010,98.5,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T14:00:00,27.5,82.23,0,17.6,13,10.1,1010,99,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T15:00:00,27.5,83.23,0,18,13.7,3.8,1009,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T16:00:00,27.4,85.23,0,18.4,14,6.8,1009,98.9,23.2,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T17:00:00,27.3,87.28,0,18.7,14.4,14.8,1009,100,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T18:00:00,27.6,84.24,0,20.5,15.1,25,1010,98.5,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T19:00:00,27.7,82.75,0,22.3,16.9,46.1,1011,99.5,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T20:00:00,27.8,80.32,0,25.6,19.8,61.6,1011,95.6,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T21:00:00,27.6,80.78,0,28.4,20.9,62.8,1012,93.1,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T22:00:00,27.3,81.72,0,28.4,20.9,54,1012,41.4,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-15T23:00:00,27,83.67,0,29.5,23,48.5,1011,33.6,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-16T00:00:00,26.7,85.16,0,31,24.5,48.7,1011,70.9,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-16T01:00:00,26.4,86.68,0,33.5,24.8,50.4,1010,61.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-16T02:00:00,26.3,86.67,0,34.2,25.2,51,1010,65.8,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-16T03:00:00,26.1,87.7,0,33.5,25.2,51.8,1010,78.4,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-16T04:00:00,26.1,87.7,0,33.1,24.8,53.4,1010,97.7,24.1,remote,obs
"talisay, daanbantayan, cebu",2026-02-16T05:00:00,26.1,87.18,0,32.8,24.5,54.5,1010,96.1,24.1,remote,obs
